state_name,state_abbr,city,name,street,zip,hours,coming_soon
Illinois,IL,Oak Brook,Oakbrook,1817 Oakbrook Center Retail 3,60523,Mon - Fri 10:00am - 10:00pm Sat - Sun 10:00am - 9:00pm,FALSE
Illinois,IL,Skokie,Old Orchard,4999 Old Orchard Road B45,60077,Mon - Sun 10:30am - 9:00pm,FALSE
Illinois,IL,Chicago,River North,623 N State St,60654,Mon - Sun 10:00am - 10:00pm,FALSE
Illinois,IL,Schaumburg,Schaumburg,1320 North Meacham Road,60173,Mon - Fri 10:00am - 10:00pm Sat - Sun 10:00am - 9:00pm,FALSE
Illinois,IL,Chicago,Southport,3601 North Southport Avenue,60613,Mon - Sun 10:30am - 10:00pm,FALSE
Illinois,IL,Chicago,Streeterville,227 East Ontario Street,60611,Mon - Fri 10:00am - 9:00pm Sat - Sun 10:00am - 8:00pm,FALSE
Illinois,IL,Chicago,Wicker Park,1471 N Milwaukee Ave,60622,Mon - Fri 10:30am - 10:00pm Sat - Sun 10:30am - 9:00pm,FALSE
Illinois,IL,Chicago,Willis Tower,233 S Wacker Dr,60606,Mon - Fri 9:30am - 8:00pm Sat - Sun 11:00am - 4:00pm,FALSE
Indiana,IN,Indianapolis,86th + Keystone,8702 Keystone Crossing,46240,Mon - Sun 10:00am - 9:00pm,FALSE
Indiana,IN,Bloomington,Bloomington,210 East Kirkwood Avenue,47408,Mon - Thu 10:30am - 10:00pm Fri - Sun 10:30am - 9:30pm,FALSE
Indiana,IN,Carmel,Carmel,14400 Clay Terrace Blvd. Suite 145,46032,Mon - Sun 10:00am - 9:00pm,FALSE
Indiana,IN,Indianapolis,Downtown Indianapolis,157 East New York Street,46204,Mon - Sun 10:00am - 9:00pm,FALSE
Indiana,IN,Fishers,Fishers,9711 East 116th Street suite 300,46037,Mon - Sun 10:30am - 9:00pm,FALSE
Indiana,IN,Zionsville,The Farm at Zionsville,11555 Sylo Crossing,46077,Mon - Sun 10:30am - 9:00pm,FALSE
Massachusetts,MA,Boston,60 State,60 State St,02109,Mon - Sun 9:30am - 9:00pm,FALSE
Massachusetts,MA,Watertown,Arsenal Yards,100 Bond Square,02472,Mon - Sun 9:30am - 10:00pm,FALSE
Massachusetts,MA,Somerville,Assembly Row,345 Assembly Row #812,02145,Mon - Fri 9:30am - 11:00pm Sat - Sun 9:30am - 10:00pm,FALSE
Massachusetts,MA,Boston,Back Bay,659 Boylston St,02116,Mon - Fri 9:30am - 10:00pm Sat - Sun 10:30am - 10:00pm,FALSE
Massachusetts,MA,Boston,Beacon Hill,300 Cambridge Street 1-L,02114,Mon - Sun 9:30am - 10:00pm,FALSE
Massachusetts,MA,Burlington,Burlington Mall,85 Middlesex Turnpike #3060,01803,Mon - Fri 9:30am - 10:00pm Sat - Sun 10:30am - 10:00pm,FALSE
Massachusetts,MA,Chestnut Hill,Chestnut Hill,210 Boylston St,02467,Mon - Fri 9:30am - 10:00pm Sat - Sun 10:30am - 10:00pm,FALSE
Massachusetts,MA,Boston,Downtown Crossing,13 School St,02108,Mon - Fri 9:30am - 7:00pm Sat - Sun 10:30am - 4:00pm,FALSE
Massachusetts,MA,Boston,Fenway,132 Brookline Ave,02215,Sun 12:00am - 12:00am,FALSE
Massachusetts,MA,Framingham,Framingham,1 Worcester Road,01701,Mon - Sun 10:00am - 10:00pm,FALSE
Massachusetts,MA,Cambridge,Harvard Square,39 JFK St,02138,Mon - Fri 9:30am - 11:00pm Sat - Sun 10:30am - 11:00pm,FALSE
Massachusetts,MA,Hingham,Hingham,96 Derby Street Suite 330 A,02043,Mon - Sun 10:00am - 9:00pm,FALSE
Massachusetts,MA,Boston,Ink Block,354 Harrison Ave,02118,Mon - Fri 9:30am - 10:00pm Sat - Sun 10:30am - 10:00pm,FALSE
Massachusetts,MA,Cambridge,Kendall Square,201 Galileo Galilei Way,02142,Mon - Fri 9:30am - 9:00pm Sat - Sun 10:30am - 9:00pm,FALSE
Massachusetts,MA,Dedham,Legacy Place,244 Legacy Pl,02026,Mon - Sun 10:00am - 10:00pm,FALSE
Massachusetts,MA,Boston,Longwood Medical,360 Longwood Avenue,02215,Mon - Fri 9:30am - 11:00pm Sat - Sun 9:30am - 10:00pm,FALSE
Massachusetts,MA,Lynnfield,Lynnfield,675 Market St,01940,Mon - Sun 9:30am - 10:00pm,FALSE
Massachusetts,MA,Mansfield,Mansfield Crossing,"280 School Street, Suite D-115",02048,Mon - Sun 10:00am - 9:00pm,FALSE
