state_abbr,city,street,city_slug,street_slug,url
NY,Lancaster,6727 Transit Rd,lancaster,6727-transit-rd,https://locations.chipotle.com/ny/lancaster/6727-transit-rd
SC,Taylors,5004 Old Spartanburg Rd,taylors,5004-old-spartanburg-rd,https://locations.chipotle.com/sc/taylors/5004-old-spartanburg-rd
MI,Grand Rapids,2420 Burton St Se,grand-rapids,2420-burton-st-se,https://locations.chipotle.com/mi/grand-rapids/2420-burton-st-se
PA,Kennett Square,804 E Baltimore Pike,kennett-square,804-e-baltimore-pike,https://locations.chipotle.com/pa/kennett-square/804-e-baltimore-pike
NY,Rochester,2130 Chili Ave,rochester,2130-chili-ave,https://locations.chipotle.com/ny/rochester/2130-chili-ave
NC,Sanford,3221 Nc 87 Hwy,sanford,3221-nc-87-hwy,https://locations.chipotle.com/nc/sanford/3221-nc-87-hwy
FL,Orlando,14229 Nona North Road,orlando,14229-nona-north-road,https://locations.chipotle.com/fl/orlando/14229-nona-north-road
NY,Malta,4 Kelch Dr,malta,4-kelch-dr,https://locations.chipotle.com/ny/malta/4-kelch-dr
IL,Champaign,2037 S Neil St,champaign,2037-s-neil-st,https://locations.chipotle.com/il/champaign/2037-s-neil-st
CA,San Bernardino,696 W 5th St,san-bernardino,696-w-5th-st,https://locations.chipotle.com/ca/san-bernardino/696-w-5th-st
MI,Waterford,4207 Highland Rd,waterford,4207-highland-rd,https://locations.chipotle.com/mi/waterford/4207-highland-rd
FL,Pensacola,8870 Boesch Ln,pensacola,8870-boesch-ln,https://locations.chipotle.com/fl/pensacola/8870-boesch-ln
TX,Edinburg,4112 S Business Highway 281,edinburg,4112-s-business-highway-281,https://locations.chipotle.com/tx/edinburg/4112-s-business-highway-281
NY,New York,500 W 33rd Street,new-york,500-w-33rd-street,https://locations.chipotle.com/ny/new-york/500-w-33rd-street
FL,West Melbourne,4521 Andromeda Rd,west-melbourne,4521-andromeda-rd,https://locations.chipotle.com/fl/west-melbourne/4521-andromeda-rd
